Key SUBDESC:PERMITFLAG value: ('Recreation Building', 'YYNN'),  mean time (days): 380.0,  stddev (days): 502.68744431, number of entries: 4
Key SUBDESC:PERMITFLAG value: ('Mixed Use', 'YNYY'),  mean time (days): 324.166666667,  stddev (days): 467.971023449, number of entries: 12
Key SUBDESC:PERMITFLAG value: ('High Rise', 'NNNY'),  mean time (days): 41.5,  stddev (days): 21.7332310836, number of entries: 4
Key SUBDESC:PERMITFLAG value: ('Medical/Dental Clinic', 'YYYY'),  mean time (days): 214.014705882,  stddev (days): 211.278318354, number of entries: 340
Key SUBDESC:PERMITFLAG value: ('Plan Retrieval/Copy', 'NNNN'),  mean time (days): -2.4,  stddev (days): 83.4668264109, number of entries: 10
Key SUBDESC:PERMITFLAG value: ('Closed Public Parking Garage', 'YNYY'),  mean time (days): 291.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Restaurant', 'YNNN'),  mean time (days): 154.36802974,  stddev (days): 229.98892385, number of entries: 269
Key SUBDESC:PERMITFLAG value: ('Service Station', 'NYNN'),  mean time (days): 97.0303030303,  stddev (days): 90.406196154, number of entries: 33
Key SUBDESC:PERMITFLAG value: ('Apt/Condo/Townhouse', 'YYYN'),  mean time (days): 499.333333333,  stddev (days): 774.845446955, number of entries: 6
Key SUBDESC:PERMITFLAG value: ('Tilt Up Warehouse', 'YNNN'),  mean time (days): 198.0,  stddev (days): 88.9306846182, number of entries: 4
Key SUBDESC:PERMITFLAG value: ('SRO/Fraternity/Shelter', 'NYNN'),  mean time (days): 74.8636363636,  stddev (days): 120.007259881, number of entries: 22
Key SUBDESC:PERMITFLAG value: ('Bank', 'YNYN'),  mean time (days): 64.6666666667,  stddev (days): 45.7420302712, number of entries: 3
Key SUBDESC:PERMITFLAG value: ('Residential Care', 'NNNN'),  mean time (days): 1455.375,  stddev (days): 2651.85573501, number of entries: 8
Key SUBDESC:PERMITFLAG value: ('Recreation Building', 'NNYY'),  mean time (days): 25.0,  stddev (days): 19.9248588452, number of entries: 3
Key SUBDESC:PERMITFLAG value: ('School/Daycare', 'YNYY'),  mean time (days): 131.866666667,  stddev (days): 97.8511016557, number of entries: 15
Key SUBDESC:PERMITFLAG value: ('Bank', 'YYYY'),  mean time (days): 127.655737705,  stddev (days): 71.1467697196, number of entries: 61
Key SUBDESC:PERMITFLAG value: ('Online Permits', 'NNYY'),  mean time (days): 64.6560509554,  stddev (days): 90.5396012928, number of entries: 157
Key SUBDESC:PERMITFLAG value: ('Warehouse/Storage', 'YNNY'),  mean time (days): 171.76056338,  stddev (days): 233.92138269, number of entries: 71
Key SUBDESC:PERMITFLAG value: ('Mixed Use', 'NYYY'),  mean time (days): 499.75,  stddev (days): 580.090438351, number of entries: 4
Key SUBDESC:PERMITFLAG value: ('Antenna/Cell Site', 'YYYY'),  mean time (days): 646.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Antenna/Cell Site', 'YNNY'),  mean time (days): 179.626506024,  stddev (days): 246.823956453, number of entries: 415
